step,tl_id,dynamic_weight,dynamic_weight_activation,reward
25,0,0.02494014365522746,3.575321990059748e-10,0.9897305288484585
42,0,0.04988028731045492,7.55537740263262e-10,0.9863073716983171
125,0,0.04988028731045492,7.55537740263262e-10,0.964632295846004
229,0,0.1247007182761373,7.12982990642805e-09,0.9430086785889885
282,0,0.1247007182761373,7.12982990642805e-09,0.9473246960154587
296,0,0.07482043096568237,1.5966038256030236e-09,0.9628066547357021
331,0,0.09976057462090984,3.3739463135955e-09,0.96538479861758
423,0,0.1247007182761373,7.12982990642805e-09,0.9598309156715095
476,0,0.1247007182761373,7.12982990642805e-09,0.958966001812482
592,0,0.1247007182761373,7.12982990642805e-09,0.9330772786540212
702,0,0.1745810055865922,3.183912796938883e-08,0.9321875430576074
731,0,0.1247007182761373,7.12982990642805e-09,0.9552544477691222
844,0,0.09976057462090984,3.3739463135955e-09,0.9567154514508529
948,0,0.09976057462090984,3.3739463135955e-09,0.9441340780987149
971,0,0.1247007182761373,7.12982990642805e-09,0.9490805394351133
1039,0,0.1247007182761373,7.12982990642805e-09,0.9465721884631574
1092,0,0.09976057462090984,3.3739463135955e-09,0.9533447302915381
1136,0,0.07482043096568237,1.5966038256030236e-09,0.9665386399907763
1246,0,0.09976057462090984,3.3739463135955e-09,0.9473371332747204
1296,0,0.1247007182761373,7.12982990642805e-09,0.9495822092254806
1391,0,0.1247007182761373,7.12982990642805e-09,0.9454434330242241
1504,0,0.1745810055865922,3.183912796938883e-08,0.9420571621258785
1563,0,0.07482043096568237,1.5966038256030236e-09,0.958188582632736
1682,0,0.1247007182761373,7.12982990642805e-09,0.9396240665693202
1762,0,0.1247007182761373,7.12982990642805e-09,0.9353115024696281
1827,0,0.1745810055865922,3.183912796938883e-08,0.9415533086942202
1862,0,0.09976057462090984,3.3739463135955e-09,0.9610310244964521
1876,0,0.07482043096568237,1.5966038256030236e-09,0.9698154328501508
1968,0,0.09976057462090984,3.3739463135955e-09,0.96538479861758
1982,0,0.04988028731045492,7.55537740263262e-10,0.9787892234946903
2080,0,0.09976057462090984,3.3739463135955e-09,0.9597704619220682
2142,0,0.1247007182761373,7.12982990642805e-09,0.9536980802395021
2234,0,0.1745810055865922,3.183912796938883e-08,0.9454434256196288
2284,0,0.09976057462090984,3.3739463135955e-09,0.955602243744068
2346,0,0.07482043096568237,1.5966038256030236e-09,0.9634424383709865
2462,0,0.09976057462090984,3.3739463135955e-09,0.9439885929859566
2500,0,0.09976057462090984,3.3739463135955e-09,0.9518397225415095
2598,0,0.14964086193136475,1.506677035055771e-08,0.9495822028203765
2660,0,0.09976057462090984,3.3739463135955e-09,0.954849739531659
2692,0,0.07482043096568237,1.5966038256030236e-09,0.964632295763092
2814,0,0.09976057462090984,3.3739463135955e-09,0.953344729623761
2924,0,0.2244612928970471,1.4218151012667644e-07,0.9290764703532406
2956,0,0.1247007182761373,7.12982990642805e-09,0.9592100450314568
3036,0,0.04988028731045492,7.55537740263262e-10,0.9714048349152435
3047,0,0.04988028731045492,7.55537740263262e-10,0.9749514207629059
3115,0,0.04988028731045492,7.55537740263262e-10,0.9676423131578152
3174,0,0.07482043096568237,1.5966038256030236e-09,0.9676423131492061
3242,0,0.09976057462090984,3.3739463135955e-09,0.9512628014783016
3328,0,0.09976057462090984,3.3739463135955e-09,0.951505275265051
3399,0,0.1247007182761373,7.12982990642805e-09,0.9470021934619828
3425,0,0.07482043096568237,1.5966038256030236e-09,0.9658428462920209
